S.No,Heading,Summary,Time,Source
1,"Indo Farm Equipment IPO: Price Band, Financials, Key Dates, GMP And More — All You Need To Know","The market value at the upper end of Indo Farm's IPO price band is Rs 1,033 crore, as per NDTV Profit's calculations.",39 minutes ago,— Bloomberg Quint
2,Adani Enterprises to exit Adani Wilmar Ltd; AEL to raise over $2 billion,"The proceeds will be utilised for growth of AEL in the core infrastructure businesses - Energy & Utility, Transport & Logistics along with Primary Industry adjacent businesses",47 minutes ago,— The Hindu Business
3,"Stock Market Dec. 30 Highlights: Nifty, Sensex Gainers And Losers",Benchmark indices ended they session lower.,54 minutes ago,— Bloomberg Quint
4,Factors that could impact Sensex's prospects in CY25,,54 minutes ago,— Economic Times
5,"Budget 2025: Fuel Excise Cut, Tax Relief, STT Abolition Among India Inc.'s Key Demands",Assocham's recommendations to the finance minister were largely around the issues that small enterprises in the country face.,55 minutes ago,— Bloomberg Quint
6,Rupee Closes Flat Against US Dollar After Strong Opening,"The rupee had opened at 85.48 against the dollar, marking a gain of 6 paise from its previous close of 85.54.",59 minutes ago,— Bloomberg Quint
7,"Rupee slips to record closing low on weaker yuan, broad-based dollar bids","The Indian rupee slipped to its weakest closing level on record on Monday, pressured by a decline in the offshore Chinese yuan and broad-based dollar bids amid a prevailing bearish bias on the local currency.",1 hour ago,— Economic Times
8,"Market Wrap: Banks, auto stocks drag D-St lower, Sensex ends 451 points lower, Nifty below 23,650","India's benchmark indices ended in red on Monday, pressured by selling in heavyweight lenders like HDFC Bank and ICICI Bank, along with declines in auto stocks. The session saw subdued trading volumes as markets approach year-end.",1 hour ago,— Economic Times
9,5 sectors to go for in next 12 months; avoid junk stocks while looking for value: Prashant Khemka,"Prashant Khemka, Founder of White Oak Capital Management, highlights their focus on sectors like healthcare, private sector financials, IT, and consumer goods for alpha generation. He emphasizes cash flow-driven valuation and good governance. Khemka warns against stocks with low PE ratios and weak governance being clubbed as value. He suggests a structural quality bias in their portfolio.",1 hour ago,— Economic Times
10,Adani Enterprises To Raise Over $2 Billion In Exit From Adani Wilmar Joint Venture,Adani’s nominee directors Pranav Adani and Malay Mahadevia will step down from the board of Adani Wilmar.,1 hour ago,— Bloomberg Quint
11,"KEC International Secures Rs 1,073-Crore New Orders, Stock Jumps Over 5%","The orders span several sectors, including T&D, civil, transportation, and cables business, KEC International said in a filing.",1 hour ago,— Bloomberg Quint
12,"NUCFDC Aims To Double Profit Of Urban Cooperative Banks In Five Years, Says Chairman","""We are planning to double the profit of urban cooperative banks in next five years and have few products to help with compliance,"" NUCFDC Chairman Jyotindra Mehta said.",1.5 hours ago,— Bloomberg Quint
13,Rupee Volatility Surge Puts RBI’s Currency Strategy In Focus,"The rupee’s one-month implied volatility versus the greenback rose to as much as 4.09% on Monday, the highest since August 2023.",1.5 hours ago,— Bloomberg Quint
14,JSW Energy Banks On Two Factors To Counter Post-Acquisition Debt,Analysts say that strong cash flow generation leaves JSW Energy at a comfortable position despite rising debt levels expected in FY25.,1.5 hours ago,— Bloomberg Quint
15,Piramal Pharma To M&M: ICICI Securities Shares Top Stock Picks For 2025,"ICICI Securities expects NSE Nifty 50 to scale the 28,300-mark in 2025, whereas the target for BSE Sensex is 94,300.",2 hours ago,— Bloomberg Quint
16,Indian workers replace Palestinians in Israel's building sector,,2 hours ago,— The Hindu Business
17,"Citichem India IPO Day 2: Check key dates, GMP, price band, subscription and other details",The SME IPO of Citichem India has been subscribed 82 times by the second day of bidding. The Rs 13 crore issue will close on December 31. The IPO received strong interest from both retail and non-institutional investors. The shares will be listed on the BSE SME platform on January 3.,2 hours ago,— Economic Times
18,Top five contrarian commodity scenarios for 2025,,2 hours ago,— The Hindu Business
19,"Bajaj Holdings & Investment, Lloyds Metals among 4 stocks that hit 52-week highs on Monday",,2.5 hours ago,— Economic Times
20,UK to tax private schools in £1.5 bn boost to public education,,2.5 hours ago,— The Hindu Business
21,European stocks slip as bond yields stay high,European stocks edged lower on Monday as elevated government bond yields prompted investors to pull out of equities at the end of a positive year for regional markets.,2.5 hours ago,— Economic Times
22,"Chinese youth flock to civil service, but slow economy puts 'iron rice bowl' jobs at risk",,2.5 hours ago,— The Hindu Business
23,Insurance and Pharma sectors poised for outperformance: Abhay Agarwal,"We expect that while the intensity of downgrades will not be as high because this time the expectations are not as high, still there will be further downgrades.",2.5 hours ago,— Economic Times
24,Rupee could fall to 86 to a dollar; 87 looks unlikely now: Jayesh Mehta,Jayesh Mehta from DSP Finance explains the recent rapid depreciation of the rupee and its connection to the new RBI governor. He discusses the potential impact of FPIs and global market conditions on the rupee's stability. The RBI may continue rolling over maturities to ease the pressure. The rupee may hover around 86 but reaching 87 seems challenging.,2.5 hours ago,— Economic Times
25,ITC Demerger: ITC Hotels To Have 100% Foreign Holding Limit Upon Listing,"ITC Ltd. currently has a 34% foreign holding cap held together as a composite cap on the stock. However, this cap will not be applicable to ITC Hotels Ltd.",2.5 hours ago,— Bloomberg Quint
26,"Trading Ideas: Exit Engineers India, Hyundai Motor, Hold International Gemmological, RIL","Read what Saurabh Jain, equity head, research, SMC Global Securities, and Ajit Mishra, a senior vice president, research, Religare Broking, have to say about the stocks.",3 hours ago,— Bloomberg Quint
27,Top 10 Nations In Lowy Institute's Asia Power Index — Check Where India Stands,"The Asia Power Index evaluates 27 countries and territories across various metrics, including economic strength, diplomatic influence, military capability, and future potential.",3 hours ago,— Bloomberg Quint
28,Japan's Nikkei ends 2024 with nearly 20% rise,"Japan's Nikkei share average retreated on 2024's last trading day on Monday from the five-month high hit in the last session, as investors locked in profits on the index that rose nearly 20% for the year.",3 hours ago,— Economic Times
29,BPCL buys Middle East crude oil to replace Russian shortfall,"BPCL is replacing missing Russian oil with Middle Eastern crude and diversifying sources like Oman, Argentina, and Qatar. The company plans to invest ₹1.7 trillion in refinery expansions over the next five years",3 hours ago,— The Hindu Business
30,Carraro India shares fall over 4% post listing,"Carraro India stock opened at Rs 660 on the BSE, reflecting a discount of Rs 44, or 6.25%, from the IPO price of Rs 704. From the issue price, the stock has declined by 10%.",3.5 hours ago,— Economic Times
31,Make global diversification your New Year resolution as asset allocation within a country is not enough: Devina Mehra,"Devina Mehra, Founder of First Global, encourages Indians to consider global investing through RBI's liberalised remittance scheme instead of relying solely on gold. She highlights the importance of diversifying investments globally, including tech and pharma sectors, and the growing significance of consumption services like Swiggy and Zomato. She also announces the release of her book covering her market learnings.",3.5 hours ago,— Economic Times
32,"Nifty indices rejig tomorrow: NTPC to see $74 million inflows, Adani Enterprises may witness $15 million gain","NTPC's inflows are driven by an increase in its weightage in the CPSE Index to 20%, while Adani Enterprises will see its weightage in the Nifty 50 index rise to 0.6%, resulting in $15 million in inflows, as per Nuvama's estimates.",3.5 hours ago,— Economic Times
33,Market likely to see volatility ahead of Trump’s return: Aditya Arora,"If you see the chart of AstraZeneca, then seems like some institutions are accumulating the stocks on the dips. And today also the volumes are more than the average of many days.",3.5 hours ago,— Economic Times
34,Ventive Hospitality shares jump over 4% post listing,"Ventive Hospitality had a subdued stock market debut, listing at Rs 716 per share, an 11% premium over its issue price of Rs 643. IPO participants may consider booking profits from listing gains.",3.5 hours ago,— Economic Times
35,Big AI Bets: Indian IT Sector 'Bytes' Into 2025 With Cautious Optimism,The industry pundits predict a notable rebound in growth and profitability metrics materialising by late 2025 or the second half of 2026,3.5 hours ago,— Bloomberg Quint
36,Fujiyama Power Systems Files Draft Papers For IPO With Fresh Issue Worth Rs 700 Crore,Fujiyama Power Systems is a manufacturer of products and solutions in the roof-top solar industry.,3.5 hours ago,— Bloomberg Quint
37,"Private defence players poised for strong growth; Solar Industries, Azad Engineering among top picks: Amit Dixit","So, in my view, it could be between air and navy. As far as the ordering is concerned, spending is a different matter. So, spending is a function of the execution. However, if you are looking for orders, then we expect that the order for P-75, P-75(I), next-generation corvettes, that could happen in the next 12 to 15 months, so that benefits naval shipyards.",3.5 hours ago,— Economic Times
38,MFs' Favourites: These 12 microcap stocks rallied 100-300% in  CY24,"The Nifty Microcap 250 index surged 35% in CY24, with several stocks delivering over 100% returns. Focused on stocks held by mutual funds, highlighting PG Electroplast shares, Wockhardt shares, Zen Technologies shares, and more.",3.5 hours ago,— Economic Times
39,Six Stocks In News At Noon: JSW Energy To Vodafone — Top Gainers And Losers,"Sensex and Nifty both were trading higher, at 12:03 p.m., Nifty was 0.30% up at 23,884.65 points and Sensex was 0.44% up at 79,042.50.",3.5 hours ago,— Bloomberg Quint
40,"Heading into 2025, what stocks to avoid and what to buy? Devina Mehra answers","First Global's Devina Mehra discusses their investment strategy, focusing on pharma, healthcare, IT services, and auto components. They are generally underweight in banks. They reassess quarterly, looking for the best opportunities available. Devina advises staying invested in equities with a conservative, steady portfolio, considering market volatility and broader economic factors like inflation and currency management.",4 hours ago,— Economic Times
41,"Vodafone Idea, Federal Bank among 5 stocks with long buildup","A long buildup occurs in the F&O segment when rising open interest and trading volumes accompany a stock price increase, indicating a bullish trend.",4 hours ago,— Economic Times
42,Anya Polytech & Fertilizers IPO subscribed nearly 48 times on Day 3. Check GMP and other details,"The net proceeds from the Anya Polytech & Fertilizers IPO will fund capital expenditures for plant and machinery, working capital for Anya Polytech & Fertilizers, a new project under Yara Green Energy, requirements for Arawali Phosphate, and general corporate purposes.",4 hours ago,— Economic Times
43,IRCTC shares  0.73% as Nifty  drops,"A total of 62,411 shares changed hands on the counter till 12:40PM (IST).",4 hours ago,— Economic Times
44,Gold’s 27% Advance Stands Out In Mixed Year For Metals Markets,"While bullion has ticked lower since Donald Trump’s sweeping victory in November’s US presidential election, its gains over 2024 still outstrip most other commodities.",4 hours ago,— Bloomberg Quint
45,Max Healthcare shares  0.03% as Sensex  rises,The stock quoted a 52-week high of Rs 1215.00 and a 52-week low of Rs 669.65.,4 hours ago,— Economic Times
46,Share price of United Spirits  as Sensex  drops  34.37 points,"Promoters held 0.79 per cent stake in the company as of 30-Sep-2024, while FII and DII ownership stood at 16.11 per cent and 11.4 per cent, respectively.",4 hours ago,— Economic Times
47,"Blackstone, Carlyle and other PEs submit bids to unlock Access' majority stake","Several global private equity funds, including Blackstone and Carlyle, have expressed interest in acquiring a majority stake in Access Healthcare. The company, specializing in revenue cycle management services, is expected to be valued at $1.4-1.5 billion. Access Healthcare, founded by Anurag Jain, employs 27,000 people globally.",4 hours ago,— Economic Times
48,Zoho CEO Sridhar Vembu weighs in on Infosys co-founder Narayana Murthy’s 70-hour workweek stance,"Zoho CEO said, ‘It is enough if only a small percentage of the population drive themselves hard.”",4 hours ago,— The Hindu Business
49,"TVS Motor, Deepak Nitrite among 5 stocks with short buildup",This indicates that more traders expect the prices to decline and are creating short positions.,4.5 hours ago,— Economic Times
50,ITC F&O Contracts To Expire On Jan. 3 Ahead Of Special Trading Session,ITC will issue and allotment of ONE fully paid-up equity share of Re. 1/- each of ITC Hotels Ltd. for every TEN equity share of face value of Re. 1/- each to shareholders of ITC Ltd.,4.5 hours ago,— Bloomberg Quint
51,"Gem Aromatics, Ajay Poly files DRHP to raise funds via IPO","Gem Aromatics and Ajay Poly have filed DRHPs for IPOs, with Gem Aromatics raising up to Rs 175 crore and Ajay Poly up to Rs 238 crore. Proceeds will be used for debt repayment, capital expenditure, and general purposes.",4.5 hours ago,— Economic Times
52,Ola Share Price Falls After Two C-Suite Executives Exit,"Ola stock was trading 3.43% lower at Rs 86.50 apiece, compared to an 0.01% advance in the benchmark Nifty 50 as of 10:57 a.m.",4.5 hours ago,— Bloomberg Quint
53,Stock Of The Day: Adani Flagship's Recovery Sets Stage For Stock To Become Top Nifty Performer In 2025,"Ventura Securities set a bullish target of Rs 3,801 for Adani Enterprises stock, seeing a potential upside of 57.8% over the next 24 months.",4.5 hours ago,— Bloomberg Quint
54,ICICI Securities downgrades Star Cement on M&A overhang,"UltraTech Cement, India's largest cement producer, approved a plan on Friday to acquire up to 3.70 crore equity shares of Star Cement at a maximum price of Rs 235 per share in an all-cash transaction.",5 hours ago,— Economic Times
55,Indo Farm Equipment IPO: GMP at 35% ahead of issue opening tomorrow. Check details,"Indo Farm Equipment's IPO opens December 31 with a grey market premium of 35%. The offer includes 86 lakh fresh shares and 35 lakh shares for sale, with funds raised for debt repayment and capital investment.",5 hours ago,— Economic Times
56,"Kothari Products announces 1:1 bonus share issue, stock up 7%","Kothari Products announced a 1:1 bonus share issue, causing a 7.4% stock rise to Rs 209.70. The issuance will be financed from free reserves, increasing authorized capital to Rs 61.50 crore. Shares surged 58.55% YoY.",5 hours ago,— Economic Times
57,Stock market update: Nifty Realty index  0.51% in  an upbeat  market,The Nifty Realty index was trading 0.51 per cent  at 1076.80.,5 hours ago,— Economic Times
58,These 5 F&O stocks saw a high increase in futures open interest,"As of December 27, significant futures open interest increases were observed in RBL Bank, Jubilant FoodWorks, Bata India, One97 Communications, and JSW Energy, indicating growing market participation.",5 hours ago,— Economic Times
59,Breakout Stocks: How to trade Jubilant FoodWorks and Finolex Industries on Monday,"Jubilant FoodWorks has formed a strong resistance zone at 700, with sustained buying pushing the stock upward. A breakout from a Cup and Handle pattern signals renewed bullish momentum. The stock trading above key moving averages confirms the uptrend, while a positive DMI+ crossover and ADX above 30 indicate strengthening bullish momentum and strong underlying strength.",5.5 hours ago,— Economic Times
60,Cigniti Tech shares slide 7% as Coforge board approves amalgamation merger,"Coforge notified shareholders via a stock exchange announcement that its board had approved the merger during a meeting on Friday. As part of the plan, Coforge will integrate the smaller Cigniti Technologies, pending approval from the National Company Law Tribunal.",5.5 hours ago,— Economic Times
61,Sensex  falls! These  stocks are down 5% or more on BSE,"In the Nifty pack, 21 stocks were trading in the green, while 29 stocks were trading in the red.",5.5 hours ago,— Economic Times
62,These 4 stocks showing RSI Trending Up on December 27,"On December 27, four Nifty50 stocks—Eicher Motors, Mahindra & Mahindra, ICICI Bank, and Bajaj Finance appeared in the RSI Trending Up scan, indicating strengthening momentum and potential buying opportunities.",5.5 hours ago,— Economic Times
63,Stock market update: Stocks that hit 52-week lows on NSE,"Trent,  Wipro,  Infosys,  Bajaj Auto and  Hero MotoCorp were among the top losers on NSE.",5.5 hours ago,— Economic Times
64,Defence sector poised for long-term growth despite current consolidation: Sandip Sabharwal,"Consumption is the contrarian sector for 2025 in my view because it has been depressed, stock prices are down, even the large consumer companies are down 30-35% from the top.",5.5 hours ago,— Economic Times
65,Chris Wood's love for HDFC Bank rekindles at the cost of 4 other stocks,"Jefferies' Chris Wood has re-added HDFC Bank and introduced Siemens India to their Asia ex-Japan portfolio. Investments in Macrotech Developers, L&T, ICICI Bank, Axis Bank, Samsung Electronics, and SK Hynix were adjusted. HDFC Bank shares are improving, with strong buy ratings and significant FII interest.",5.5 hours ago,— Economic Times
66,"Crypto Price Today: Bitcoin drops below $93,100; XRP, Shiba Inu fall up to 5%","Bitcoin fell nearly 2% to below $93,100 after the Federal Reserve's cautious outlook on rate cuts and their decision against stockpiling Bitcoin. The cryptocurrency lost critical support and might head towards $92,000, impacting other major cryptocurrencies, though Ethereum remained steady.",5.5 hours ago,— Economic Times
67,"Slow consumption recovery ahead, tax relief unlikely: Sandip Sabharwal","They do not see any need to take these measures politically. Now, economically, there is a need because consumption has been stuck in a groove for more than two years now, not moving.",6 hours ago,— Economic Times
68,Zinka Logistics Under Bearish Clouds: BlackBuck Shares Drop As Morgan Stanley Initiates Underweight,"Morgan Stanley has set a target price of Rs 450 per share on the Blackbuck operator, implying a 16% downside.",6 hours ago,— Bloomberg Quint
69,Rupee falls 5 paise to 85.53 against U.S. dollar in early trade,"Rupee falls against dollar due to demand, fund outflows, and weak equities, with expected continued pressure on currency",6 hours ago,— The Hindu Business
70,The mother of all Indian IPOs: Will 2025 be the year India witnesses its largest-ever listing?,"2024 witnessed a surge in IPOs with major companies raising funds, surpassing Rs 3 lakh crore. This trend is expected to continue in 2025 with significant listings from giants like Flipkart, LG India, and Reliance Industries' Jio. Subsidiaries of listed firms are also planning IPOs, potentially setting new fundraising records.",6 hours ago,— Economic Times
71,D-Street shines in 2024; key global & domestic factors to watch out in 2025,"Indian stock market sees strong performance in 2024 with significant gains in Sensex and Nifty. In 2025, key factors changes in U.S. trade policies, geopolitical developments and central bank's actions. Rate-sensitive sectors and Al adoption are among the critical themes to watch",6 hours ago,— Economic Times
72,Phone Battery Low? You May Pay More For Last-Minute Cab Booking,A LocalCircles survey on Dark Patterns highlights several troubling details on the ride-hailing industry including a surge of Rs 100-200 while booking cabs on low-battery.,6 hours ago,— Bloomberg Quint
73,New year fundamental picks 2025: 9 stock recommendations for your portfolio,"Axis Securities identifies nine robust stock picks for 2025, highlighting Shriram Finance, Fortis Healthcare, Prestige Estates Projects, City Union Bank, Ambuja Cements, DOMS Industries, Ethos, Bharti Airtel, and Cipla, each showing promising growth potential based on strong fundamentals and favorable market conditions.",6 hours ago,— Economic Times
74,At multi-year highs: These 4 stocks witness 5-year swing high breakout,"However, it's worth noting that this is different from a 5-year breakout, which occurs when a stock's price surpasses a key resistance level that has held for five years or longer.",6.5 hours ago,— Economic Times
75,Nifty 50 fairly valued; challenge could be in broader market in 2025: Anurag Singh,"Anurag Singh from Ansid Capital expects significant growth in the US market, with a 14% earnings growth in 2024. The Indian market is projected to see modest returns in the near term. Trump’s return is anticipated to favor US regulatory reforms and benefit Indian service exports, though emerging markets might see some portfolio rebalancing.",6.5 hours ago,— Economic Times
76,"JSW Energy shares zoom nearly 8% on signing Rs 12,468 cr definitive agreement with O2 Power","JSW Energy Share Price: JSW Energy's subsidiary, JSW Neo Energy, has signed definitive agreements to acquire a 4.7 GW renewable energy portfolio from O2 Power for Rs 12,468 crore. This acquisition will help JSW Energy achieve its renewable capacity growth target of 20 GW by FY 2030. The acquisition is expected to be completed by May 2025.",6.5 hours ago,— Economic Times
77,"Adani Enterprises shares surge 4% after Ventura gives Rs 3,801 target price","Adani Enterprises shares rose by 4% after Ventura Securities set a target price of Rs 3,801 for the next two years. The company is involved in various sectors like airports, solar modules, and data centers. Ventura estimates significant growth potential in these areas. They expect increased revenue and improved financial performance for Adani Enterprises.",6.5 hours ago,— Economic Times
78,"Neutral on TCI Express, target price Rs 940:  Motilal Oswal Financial Services","Motilal Oswal Financial Services has set a neutral rating for TCI Express with a target price of Rs 940. Currently, TCI Express is priced at Rs 828.35. The company reported a total income of Rs 314.01 crore for the latest quarter and faced muted volume growth due to slower growth in key sectors. Promoters hold a 69.54% stake.",6.5 hours ago,— Economic Times
